Iteration;Attempt;Hits;Misses;Accuracy;Total time taken;Average time per target;Average time per target (+penalty)
1;1;12;0;100;79.21729999999702;6.601;6.601
1;2;12;0;100;68.90009999999404;5.741;5.741
1;1;12;0;100;67.8675;5.655;5.655
1;2;12;0;100;44.9025;3.741;3.741
1;1;12;0;100;89.08569999999925;7.423;7.423
1;2;12;0;100;108.5075;9.042;9.042
1;1;12;0;100;71.8005;5.983;5,983
1;2;12;0;100;43.384;3.615;3.615
1;1;12;0;100;48.335;4.027;4.027
1;2;12;0;100;39.648800000000044;3.304;3.304
1;1;12;0;100;83.919;6.993;6.993
1;2;11;1;91.66666666666667;102.374;8.531;9.197
1;1;12;0;100;119.733;9.977;9.977
1;2;12;0;100;112.249;9.354;9.354